User \ Reference Class;water;road;building;tree;grass;Sum
water;29;0;11;0;1;41
road;0;457;30;0;4;491
building;3;98;239;1;42;383
tree;0;0;2;281;94;377
grass;0;0;0;16;488;504
unclassified;1;2;7;0;7;17
Sum;33;557;289;298;636

Producer;0.87878787879;0.82046678636;0.82698961938;0.94295302013;0.76729559748
User;0.70731707317;0.93075356415;0.62402088773;0.74535809019;0.96825396825
Hellden;0.78378378378;0.87213740458;0.71130952381;0.83259259259;0.85614035088
Short;0.64444444444;0.77326565144;0.5519630485;0.71319796954;0.74846625767
KIA Per Class;0.87598330939;0.75378690141;0.78065187408;0.9279762016;0.67769818047
Overall Accuracy;0.82404853833
KIA;0.76571407043
